staff_id,store_id,staff_name,role_name,email,joined_date,employment_status
STF00001,S0001,员工0001,商品运营,staff0001@example.invalid,2026-06-30,active
STF00002,S0002,员工0002,商品运营,staff0002@example.invalid,2025-09-10,active
STF00003,S0003,员工0003,仓配协调,staff0003@example.invalid,2026-06-25,active
STF00004,S0004,员工0004,活动运营,staff0004@example.invalid,2026-01-12,active
STF00005,S0005,员工0005,活动运营,staff0005@example.invalid,2026-03-04,active
STF00006,S0006,员工0006,商品运营,staff0006@example.invalid,2024-01-06,active
STF00007,S0007,员工0007,商品运营,staff0007@example.invalid,2025-05-03,active
STF00008,S0008,员工0008,店长,staff0008@example.invalid,2024-04-21,active
STF00009,S0009,员工0009,客服,staff0009@example.invalid,2025-07-02,active
STF00010,S0010,员工0010,客服,staff0010@example.invalid,2023-12-03,active
STF00011,S0011,员工0011,店长,staff0011@example.invalid,2024-08-03,active
STF00012,S0012,员工0012,客服,staff0012@example.invalid,2025-02-10,active
STF00013,S0013,员工0013,客服,staff0013@example.invalid,2025-04-29,left
STF00014,S0014,员工0014,商品运营,staff0014@example.invalid,2026-07-18,active
STF00015,S0015,员工0015,客服,staff0015@example.invalid,2024-08-25,active
STF00016,S0016,员工0016,活动运营,staff0016@example.invalid,2026-04-15,active
STF00017,S0017,员工0017,活动运营,staff0017@example.invalid,2026-06-04,active
STF00018,S0018,员工0018,活动运营,staff0018@example.invalid,2023-11-09,active
STF00019,S0019,员工0019,商品运营,staff0019@example.invalid,2024-04-28,active
STF00020,S0020,员工0020,客服,staff0020@example.invalid,2026-04-03,active
STF00021,S0021,员工0021,活动运营,staff0021@example.invalid,2025-08-28,active
STF00022,S0022,员工0022,仓配协调,staff0022@example.invalid,2024-10-24,active
STF00023,S0023,员工0023,商品运营,staff0023@example.invalid,2023-11-11,active
STF00024,S0024,员工0024,商品运营,staff0024@example.invalid,2025-01-22,active
STF00025,S0025,员工0025,客服,staff0025@example.invalid,2025-03-23,active
STF00026,S0026,员工0026,商品运营,staff0026@example.invalid,2026-04-11,active
STF00027,S0027,员工0027,店长,staff0027@example.invalid,2025-10-30,active
STF00028,S0028,员工0028,客服,staff0028@example.invalid,2024-06-10,active
STF00029,S0029,员工0029,活动运营,staff0029@example.invalid,2025-02-07,active
STF00030,S0030,员工0030,商品运营,staff0030@example.invalid,2025-01-12,active
STF00031,S0031,员工0031,活动运营,staff0031@example.invalid,2024-03-15,active
STF00032,S0032,员工0032,仓配协调,staff0032@example.invalid,2026-01-15,active
STF00033,S0033,员工0033,活动运营,staff0033@example.invalid,2026-03-12,active
STF00034,S0034,员工0034,客服,staff0034@example.invalid,2025-11-05,active
STF00035,S0035,员工0035,客服,staff0035@example.invalid,2023-10-08,active
STF00036,S0036,员工0036,客服,staff0036@example.invalid,2026-05-31,active
STF00037,S0037,员工0037,活动运营,staff0037@example.invalid,2024-12-11,active
STF00038,S0038,员工0038,商品运营,staff0038@example.invalid,2024-05-18,active
STF00039,S0039,员工0039,客服,staff0039@example.invalid,2025-04-04,active
STF00040,S0040,员工0040,活动运营,staff0040@example.invalid,2024-08-15,left
STF00041,S0041,员工0041,仓配协调,staff0041@example.invalid,2023-10-20,active
STF00042,S0042,员工0042,活动运营,staff0042@example.invalid,2024-10-16,active
STF00043,S0043,员工0043,客服,staff0043@example.invalid,2025-06-26,active
STF00044,S0044,员工0044,客服,staff0044@example.invalid,2025-04-01,left
STF00045,S0045,员工0045,客服,staff0045@example.invalid,2025-02-12,active
STF00046,S0046,员工0046,客服,staff0046@example.invalid,2026-07-03,active
STF00047,S0047,员工0047,客服,staff0047@example.invalid,2024-10-06,active
STF00048,S0048,员工0048,商品运营,staff0048@example.invalid,2024-04-07,active
STF00049,S0049,员工0049,商品运营,staff0049@example.invalid,2025-06-04,active
STF00050,S0050,员工0050,商品运营,staff0050@example.invalid,2025-03-27,active
STF00051,S0051,员工0051,活动运营,staff0051@example.invalid,2025-01-18,active
STF00052,S0052,员工0052,客服,staff0052@example.invalid,2025-04-28,active
STF00053,S0053,员工0053,活动运营,staff0053@example.invalid,2025-02-08,active
STF00054,S0054,员工0054,客服,staff0054@example.invalid,2026-07-27,active
STF00055,S0055,员工0055,客服,staff0055@example.invalid,2026-08-01,active
STF00056,S0056,员工0056,仓配协调,staff0056@example.invalid,2025-08-07,active
STF00057,S0057,员工0057,商品运营,staff0057@example.invalid,2025-01-07,active
STF00058,S0058,员工0058,店长,staff0058@example.invalid,2023-12-04,active
STF00059,S0059,员工0059,客服,staff0059@example.invalid,2023-08-28,active
STF00060,S0060,员工0060,客服,staff0060@example.invalid,2026-05-28,active
STF00061,S0061,员工0061,商品运营,staff0061@example.invalid,2026-01-12,active
STF00062,S0062,员工0062,客服,staff0062@example.invalid,2023-09-08,active
STF00063,S0063,员工0063,客服,staff0063@example.invalid,2024-07-28,active
STF00064,S0064,员工0064,商品运营,staff0064@example.invalid,2025-05-25,active
STF00065,S0065,员工0065,商品运营,staff0065@example.invalid,2025-06-21,active
STF00066,S0066,员工0066,仓配协调,staff0066@example.invalid,2025-03-14,active
STF00067,S0067,员工0067,商品运营,staff0067@example.invalid,2026-06-08,active
STF00068,S0068,员工0068,客服,staff0068@example.invalid,2025-03-17,left
STF00069,S0069,员工0069,店长,staff0069@example.invalid,2025-11-17,active
STF00070,S0070,员工0070,仓配协调,staff0070@example.invalid,2025-02-19,active
STF00071,S0071,员工0071,活动运营,staff0071@example.invalid,2026-08-08,active
STF00072,S0072,员工0072,店长,staff0072@example.invalid,2023-12-21,active
STF00073,S0073,员工0073,商品运营,staff0073@example.invalid,2025-11-21,active
