user_id,mock_name,gender,birthday,region,province,city,occupation,income_band,updated_at
U000001,陶佳言,男,1982-06-05,华北,山西,太原,专业人士,未知,2026-08-23 03:58:43
U000002,伏皓行,女,1999-04-12,华北,山西,太原,自由职业,未知,2027-03-26 03:43:44
U000003,潘远语,男,1982-04-30,华北,北京,北京,学生,20k-40k,2025-11-09 04:57:28
U000004,周宇沐,女,1996-08-29,华北,北京,北京,自由职业,5k-10k,2026-03-02 16:55:41
U000005,盛舒念,男,1982-08-29,华东,江苏,南京,自由职业,5k-10k,2026-02-04 09:24:15
U000006,韦俊书,女,1985-12-06,华东,浙江,杭州,专业人士,5k-10k,2025-08-09 22:40:06
U000007,余然舒,女,1986-01-23,华东,山东,青岛,个体经营,10k-20k,2027-01-07 09:06:01
U000008,雍向程,未知,2002-11-20,华中,河南,郑州,个体经营,10k-20k,2025-10-10 15:19:14
U000009,璩言梓,男,1995-03-23,华中,湖南,长沙,自由职业,10k-20k,2026-10-11 21:41:13
U000010,能嘉依,女,1968-11-09,华北,天津,天津,企业职员,5k-10k,2026-11-09 05:26:19
U000011,洪欣静,女,1969-08-03,华东,山东,青岛,其他,10k-20k,2026-10-04 14:50:07
U000012,戎梓涵,男,1989-07-23,华东,江苏,南京,个体经营,0-5k,2026-10-11 00:41:05
U000013,罗瑶锦,女,1991-02-20,华中,河南,郑州,其他,0-5k,2025-07-11 20:53:41
U000014,孟嘉桐,女,2001-10-02,华南,广东,深圳,个体经营,10k-20k,2025-06-14 08:32:19
U000015,满桐俊,女,1972-02-20,华东,上海,上海,企业职员,20k-40k,2027-06-21 01:41:41
U000016,房梓沐,男,1968-08-10,华东,上海,上海,企业职员,20k-40k,2026-05-13 13:40:46
U000017,应可安,女,1991-02-11,华东,江苏,南京,企业职员,10k-20k,2026-10-23 01:03:10
U000018,严锦景,男,1996-08-27,华东,山东,青岛,专业人士,10k-20k,2026-01-16 22:02:32
U000019,丰辰星,女,1973-10-28,华中,江西,南昌,企业职员,40k以上,2026-04-17 01:57:30
U000020,璩文俊,男,1966-02-13,华南,广西,南宁,企业职员,0-5k,2026-01-14 17:59:12
U000021,甄宇轩,男,1967-03-30,西南,贵州,贵阳,专业人士,10k-20k,2026-08-10 10:47:24
U000022,宫安涵,男,1988-10-03,华中,河南,郑州,企业职员,20k-40k,2026-05-02 14:12:00
U000023,边雅琪,男,1977-11-25,华北,河北,石家庄,专业人士,未知,2026-07-20 17:22:52
U000024,薄可琪,男,1983-06-30,华东,上海,上海,其他,0-5k,2025-07-31 22:39:58
U000025,仇一嘉,男,1968-07-03,华中,江西,南昌,个体经营,10k-20k,2025-09-02 21:23:24
U000026,曾然皓,男,1995-04-20,西南,贵州,贵阳,企业职员,5k-10k,2025-08-15 12:39:21
U000027,符念清,男,1982-04-10,西南,重庆,重庆,企业职员,10k-20k,2026-07-28 21:57:04
