user_id,nickname,email,masked_mobile,register_channel_id,registered_at,account_status,register_platform
U000001,星友00001,mock_00001@example.invalid,131****0001,CH01,2026-08-15 03:58:43,active,web
U000002,星友00002,mock_00002@example.invalid,132****0002,CH02,2026-05-24 03:43:44,active,app
U000003,星友00003,mock_00003@example.invalid,133****0003,CH01,2025-02-18 04:57:28,active,app
U000004,星友00004,mock_00004@example.invalid,134****0004,CH06,2026-02-28 16:55:41,active,app
U000005,星友00005,mock_00005@example.invalid,135****0005,CH07,2025-07-29 09:24:15,active,app
U000006,星友00006,mock_00006@example.invalid,136****0006,CH03,2025-01-02 22:40:06,active,app
U000007,星友00007,mock_00007@example.invalid,137****0007,CH01,2026-04-17 09:06:01,active,app
U000008,星友00008,mock_00008@example.invalid,138****0008,CH01,2025-06-30 15:19:14,active,app
U000009,星友00009,mock_00009@example.invalid,139****0009,CH03,2026-05-16 21:41:13,active,app
U000010,星友00010,mock_00010@example.invalid,140****0010,CH03,2026-01-18 05:26:19,active,app
U000011,星友00011,mock_00011@example.invalid,141****0011,CH01,2026-06-04 14:50:07,active,app
U000012,星友00012,mock_00012@example.invalid,142****0012,CH05,2025-09-06 00:41:05,active,mini_program
U000013,星友00013,mock_00013@example.invalid,143****0013,CH04,2025-01-14 20:53:41,active,mini_program
U000014,星友00014,mock_00014@example.invalid,144****0014,CH01,2025-04-20 08:32:19,inactive,app
U000015,星友00015,mock_00015@example.invalid,145****0015,CH04,2026-06-07 01:41:41,active,web
U000016,星友00016,mock_00016@example.invalid,146****0016,CH01,2026-02-26 13:40:46,active,app
U000017,星友00017,mock_00017@example.invalid,147****0017,CH02,2026-07-26 01:03:10,active,web
U000018,星友00018,mock_00018@example.invalid,148****0018,CH01,2025-02-16 22:02:32,active,app
U000019,星友00019,mock_00019@example.invalid,149****0019,CH03,2025-11-20 01:57:30,active,web
U000020,星友00020,mock_00020@example.invalid,150****0020,CH03,2025-05-11 17:59:12,active,app
U000021,星友00021,mock_00021@example.invalid,151****0021,CH01,2026-07-11 10:47:24,active,app
U000022,星友00022,mock_00022@example.invalid,152****0022,CH03,2025-04-19 14:12:00,inactive,app
U000023,星友00023,mock_00023@example.invalid,153****0023,CH12,2026-05-29 17:22:52,active,app
U000024,星友00024,mock_00024@example.invalid,154****0024,CH03,2025-07-25 22:39:58,active,app
U000025,星友00025,mock_00025@example.invalid,155****0025,CH01,2025-08-25 21:23:24,active,app
U000026,星友00026,mock_00026@example.invalid,156****0026,CH09,2025-03-17 12:39:21,active,app
U000027,星友00027,mock_00027@example.invalid,157****0027,CH01,2026-05-20 21:57:04,blocked,app
U000028,星友00028,mock_00028@example.invalid,158****0028,CH01,2026-08-11 13:29:29,active,app
U000029,星友00029,mock_00029@example.invalid,159****0029,CH10,2025-05-15 15:05:33,active,app
U000030,星友00030,mock_00030@example.invalid,160****0030,CH09,2026-05-28 22:03:04,active,app
U000031,星友00031,mock_00031@example.invalid,161****0031,CH02,2025-11-14 04:37:04,active,app
U000032,星友00032,mock_00032@example.invalid,162****0032,CH02,2026-06-26 03:39:52,active,app
U000033,星友00033,mock_00033@example.invalid,163****0033,CH01,2025-09-09 19:55:31,active,web
U000034,星友00034,mock_00034@example.invalid,164****0034,CH10,2025-03-12 00:48:50,active,app
U000035,星友00035,mock_00035@example.invalid,165****0035,CH01,2025-01-06 22:10:49,active,app
U000036,星友00036,mock_00036@example.invalid,166****0036,CH03,2025-06-13 02:43:44,active,app
U000037,星友00037,mock_00037@example.invalid,167****0037,CH05,2026-05-28 04:37:10,active,mini_program
U000038,星友00038,mock_00038@example.invalid,168****0038,CH07,2026-04-01 11:53:52,active,app
U000039,星友00039,mock_00039@example.invalid,169****0039,CH08,2025-08-07 09:21:32,active,web
U000040,星友00040,mock_00040@example.invalid,170****0040,CH10,2025-05-18 02:22:30,active,app
U000041,星友00041,mock_00041@example.invalid,171****0041,CH01,2025-10-26 06:14:39,active,app
U000042,星友00042,mock_00042@example.invalid,172****0042,CH02,2025-09-29 05:13:38,active,app
U000043,星友00043,mock_00043@example.invalid,173****0043,CH04,2025-02-17 10:00:01,active,app
U000044,星友00044,mock_00044@example.invalid,174****0044,CH10,2025-02-04 22:48:14,active,app
U000045,星友00045,mock_00045@example.invalid,175****0045,CH10,2025-06-11 05:06:18,active,app
U000046,星友00046,mock_00046@example.invalid,176****0046,CH01,2026-08-14 23:50:50,active,app
U000047,星友00047,mock_00047@example.invalid,177****0047,CH06,2025-03-20 12:59:56,active,mini_program
U000048,星友00048,mock_00048@example.invalid,178****0048,CH09,2026-01-02 04:04:07,active,app
U000049,星友00049,mock_00049@example.invalid,179****0049,CH02,2026-04-02 00:21:45,active,app
U000050,星友00050,mock_00050@example.invalid,180****0050,CH01,2025-10-31 01:14:00,active,app
U000051,星友00051,mock_00051@example.invalid,181****0051,CH03,2026-08-07 07:21:58,active,app
U000052,星友00052,mock_00052@example.invalid,182****0052,CH11,2025-11-19 22:15:57,active,mini_program
U000053,星友00053,mock_00053@example.invalid,183****0053,CH03,2026-05-15 07:57:05,active,app
U000054,星友00054,mock_00054@example.invalid,184****0054,CH06,2026-04-22 23:49:02,active,app
U000055,星友00055,mock_00055@example.invalid,185****0055,CH09,2025-12-20 19:13:22,active,app
U000056,星友00056,mock_00056@example.invalid,186****0056,CH02,2026-07-22 11:09:48,active,mini_program
U000057,星友00057,mock_00057@example.invalid,187****0057,CH07,2026-03-24 16:22:40,active,app
U000058,星友00058,mock_00058@example.invalid,188****0058,CH06,2025-12-20 17:56:34,active,app
U000059,星友00059,mock_00059@example.invalid,189****0059,CH02,2025-09-19 00:46:37,active,app
U000060,星友00060,mock_00060@example.invalid,130****0060,CH02,2026-07-23 14:55:03,active,app
U000061,星友00061,mock_00061@example.invalid,131****0061,CH04,2026-01-13 06:58:17,active,app
U000062,星友00062,mock_00062@example.invalid,132****0062,CH01,2025-05-29 16:27:42,active,app
U000063,星友00063,mock_00063@example.invalid,133****0063,CH03,2025-05-10 05:37:51,active,web
U000064,星友00064,mock_00064@example.invalid,134****0064,CH03,2026-08-02 03:03:08,active,app
